bench id,algorithm,time,number of inter solutions,alg weights,expected weights,capacity,alg total weight,expected total weight,alg profit,expected profit,profit difference,percentage profit difference
1,CustomGA,0.033707,0,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,165,165,309,309,0,0.0
2,CustomGA,0.021336,0,"[0, 1, 1, 1, 0]","[0, 1, 1, 1, 0]",26,26,26,51,51,0,0.0
3,CustomGA,0.025001,0,"[1, 1, 0, 0, 1, 0]","[1, 1, 0, 0, 1, 0]",190,190,190,150,150,0,0.0
4,CustomGA,0.024348,0,"[1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]",50,50,50,107,107,0,0.0
5,CustomGA,0.026423,0,"[1, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1]",104,104,104,900,900,0,0.0
6,CustomGA,0.025979,0,"[0, 1, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 1]",170,169,169,1735,1735,0,0.0
7,CustomGA,0.067438,0,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,749,749,1453,1458,5,0.3429
