bench id,algorithm,time,number of inter solutions,alg weights,expected weights,capacity,alg total weight,expected total weight,alg profit,expected profit,profit difference,percentage profit difference
6,BranchAndBound,5.4445000000000025e-05,84,"[0, 1, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 1]",170,169,169,1735.0,1735,0.0,0.0
6,CustomGARansack,0.00011874699999999997,6,"[1, 0, 1, 1, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 1]",170,149,169,1593.21,1735,141.78999999999996,8.1723
6,CustomGATARansack,6.0400000000000004e-05,6,"[1, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 1]",170,140,169,1478.0,1735,257.0,14.8127
6,DPWeights,0.0009215040000000005,826,"[0, 1, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 1]",170,169,169,1735.0,1735,0.0,0.0
6,PTAS,5.656299999999998e-05,29,"[1, 0, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 1]",170,160,169,1652.0,1735,83.0,4.7839
6,TwoApproxAlgorithm,1.156e-05,4,"[1, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 1]",170,140,169,1478.0,1735,257.0,14.8127
7,BranchAndBound,0.00010219600000000001,138,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,749,749,1458.0,1458,0.0,0.0
7,CustomGARansack,0.00013617399999999997,6,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,728,749,1324.927,1458,133.0730000000001,9.1271
7,CustomGATARansack,8.6665e-05,6,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,653,749,1249.0,1458,209.0,14.3347
7,DPWeights,0.008795416000000014,9832,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,749,749,1458.0,1458,0.0,0.0
7,PTAS,0.0003297700000000002,121,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,749,749,1458.0,1458,0.0,0.0
7,TwoApproxAlgorithm,1.9452e-05,9,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,653,749,1249.0,1458,209.0,14.3347
